Beata Kowalczyk 1420zł uczciwy_człowiek
Stanisław Kowalski 317zł rolnik
Łukasz Krawczyk 866zł górnik
Jolanta Dąbrowska 981zł górnik
Maciej Kowalski 617zł rolnik
Teresa Kamińska 1360zł uczciwy_człowiek
Kazimierz Kamiński 1130zł uczciwy_człowiek
Andrzej Piotrowski 213zł rolnik
Marta Lewandowska 600zł górnik
Natalia Nowak 448zł uczciwy_człowiek
Marek Wiśniewski 1307zł rolnik
Wojciech Zieliński 295zł uczciwy_człowiek
Beata Szymańska 1342zł rolnik
Jakub Kowalski 1476zł górnik
Danuta Lewandowska 290zł uczciwy_człowiek
Henryk Kozłowski 1486zł górnik
Jerzy Kowalczyk 1246zł uczciwy_człowiek
Janina Wojciechowska 282zł uczciwy_człowiek
Wojciech Nowak 901zł górnik
Jakub Kowalski 1086zł uczciwy_człowiek
Stanisław Nowak 662zł górnik
Jakub Zieliński 600zł uczciwy_człowiek
Karolina Grabowska 930zł uczciwy_człowiek
Krystyna Mazur 657zł uczciwy_człowiek
Dariusz Zieliński 946zł uczciwy_człowiek
Łukasz Piotrowski 823zł górnik
Adam Kozłowski 284zł uczciwy_człowiek
Marcin Lewandowski 378zł uczciwy_człowiek
Marianna Wójcik 101zł górnik
Grażyna Mazur 794zł rolnik
Irena Dąbrowska 553zł górnik
Maciej Kowalski 1357zł rolnik
Henryk Woźniak 552zł uczciwy_człowiek
Michał Kowalski 1265zł rolnik
Danuta Krawczyk 325zł uczciwy_człowiek
Mateusz Wiśniewski 720zł rolnik
Rafał Nowak 874zł górnik
Beata Kamińska 1450zł uczciwy_człowiek
Marta Krawczyk 702zł rolnik
Karolina Dąbrowska 743zł górnik
Marta Grabowska 213zł górnik
Łukasz Kwiatkowski 1027zł rolnik
Halina Zielińska 956zł uczciwy_człowiek
Joanna Nowak 1400zł uczciwy_człowiek
Irena Zielińska 1498zł rolnik
Jadwiga Kozłowska 794zł górnik
Tadeusz Grabowski 115zł rolnik
Jolanta Kozłowska 1401zł rolnik
Mateusz Kamiński 377zł uczciwy_człowiek
Aleksandra Lewandowska 246zł górnik
Krzysztof Dąbrowski 1347zł uczciwy_człowiek
Piotr Woźniak 1114zł rolnik
Danuta Wójcik 1148zł górnik
Marta Kaczmarek 1446zł uczciwy_człowiek
Irena Krawczyk 1333zł górnik
Marek Wiśniewski 1027zł uczciwy_człowiek
Maciej Piotrowski 424zł górnik
Maciej Wojciechowski 330zł górnik
Joanna Woźniak 1044zł uczciwy_człowiek
Helena Kamińska 475zł uczciwy_człowiek
Katarzyna Zielińska 1205zł uczciwy_człowiek
Helena Kowalczyk 391zł uczciwy_człowiek
Andrzej Wojciechowski 580zł rolnik
Irena Mazur 1268zł górnik
Jakub Kwiatkowski 687zł górnik
Kamil Wojciechowski 723zł uczciwy_człowiek
Ryszard Zieliński 1022zł górnik
Tadeusz Kwiatkowski 1264zł rolnik
Katarzyna Wiśniewska 659zł rolnik
Wojciech Krawczyk 339zł uczciwy_człowiek
Grzegorz Kozłowski 357zł górnik
Ewa Jankowska 679zł uczciwy_człowiek
Tomasz Kowalski 193zł uczciwy_człowiek
Helena Wiśniewska 492zł uczciwy_człowiek
Mateusz Kamiński 604zł górnik
Katarzyna Grabowska 757zł górnik
Adam Kozłowski 968zł górnik
Danuta Lewandowska 475zł górnik
Robert Kozłowski 874zł rolnik
Janina Kozłowska 817zł rolnik
Marcin Woźniak 1203zł uczciwy_człowiek
Andrzej Kozłowski 891zł rolnik
Paweł Szymański 513zł rolnik
Maciej Krawczyk 840zł uczciwy_człowiek
Paweł Nowak 1272zł górnik
Jerzy Krawczyk 241zł uczciwy_człowiek
Beata Kaczmarek 119zł rolnik
Beata Kaczmarek 916zł uczciwy_człowiek
Rafał Wiśniewski 120zł górnik
Anna Dąbrowska 549zł górnik
Zbigniew Kwiatkowski 1305zł rolnik
Mateusz Kwiatkowski 343zł górnik
Jakub Kowalczyk 686zł uczciwy_człowiek
Janina Kamińska 1316zł rolnik
Aleksandra Jankowska 303zł górnik
Ryszard Wiśniewski 868zł uczciwy_człowiek
Ryszard Woźniak 1358zł rolnik
Andrzej Wójcik 1245zł górnik
Ryszard Mazur 1094zł uczciwy_człowiek
Joanna Nowak 1079zł górnik
Ewa Kwiatkowska 470zł górnik
Karolina Grabowska 228zł rolnik
Krystyna Kwiatkowska 1208zł rolnik
Maria Woźniak 1026zł uczciwy_człowiek
Jacek Kaczmarek 426zł górnik
Łukasz Nowak 452zł rolnik
Paweł Kowalski 924zł górnik
Rafał Wojciechowski 1127zł górnik
Stanisław Wiśniewski 1148zł górnik
Marta Kowalska 920zł rolnik
Marianna Woźniak 1089zł rolnik
Jacek Lewandowski 854zł górnik
Maria Mazur 431zł uczciwy_człowiek
Mariusz Kowalczyk 1305zł górnik
Jolanta Kaczmarek 1225zł rolnik
Krzysztof Lewandowski 665zł rolnik
Agnieszka Kamińska 209zł uczciwy_człowiek
Marianna Lewandowska 902zł rolnik
Ewa Dąbrowska 266zł górnik
Kazimierz Lewandowski 970zł uczciwy_człowiek
Teresa Kwiatkowska 704zł uczciwy_człowiek
Karolina Krawczyk 642zł uczciwy_człowiek
Małgorzata Kwiatkowska 586zł uczciwy_człowiek
Helena Grabowska 186zł uczciwy_człowiek
Irena Mazur 796zł rolnik
Piotr Wiśniewski 1410zł górnik
Helena Szymańska 947zł uczciwy_człowiek
Stanisław Mazur 386zł rolnik
Piotr Szymański 924zł górnik
Aleksandra Zielińska 1265zł rolnik
Katarzyna Lewandowska 1422zł górnik
Tadeusz Nowak 956zł rolnik
Piotr Nowak 1019zł uczciwy_człowiek
Jacek Kowalski 453zł rolnik
Elżbieta Woźniak 166zł uczciwy_człowiek
Aleksandra Kowalska 941zł rolnik
Iwona Piotrowska 1302zł rolnik
Krzysztof Dąbrowski 396zł rolnik
Jerzy Wiśniewski 645zł uczciwy_człowiek
Małgorzata Mazur 317zł uczciwy_człowiek
Marcin Zieliński 592zł rolnik
Maciej Jankowski 388zł uczciwy_człowiek
Robert Wójcik 1481zł górnik
Grażyna Lewandowska 957zł uczciwy_człowiek
Michał Dąbrowski 634zł górnik
Maria Nowak 751zł uczciwy_człowiek
Helena Wiśniewska 739zł rolnik
Małgorzata Wójcik 587zł górnik
Maciej Piotrowski 248zł górnik
Dorota Kaczmarek 1260zł rolnik
Jadwiga Lewandowska 659zł rolnik
Wojciech Kowalczyk 1416zł rolnik
Teresa Szymańska 1430zł uczciwy_człowiek
Marcin Mazur 1146zł górnik
Mariusz Kowalski 794zł uczciwy_człowiek
Maria Piotrowska 1471zł uczciwy_człowiek
Jerzy Kaczmarek 1135zł górnik
Józef Dąbrowski 560zł górnik
Jerzy Lewandowski 1054zł górnik
Wojciech Kozłowski 694zł górnik
Jolanta Nowak 1292zł górnik
Henryk Wiśniewski 360zł rolnik
Małgorzata Piotrowska 649zł rolnik
Józef Wiśniewski 1049zł górnik
Andrzej Dąbrowski 1247zł rolnik
Anna Grabowska 467zł górnik
Mariusz Mazur 1330zł uczciwy_człowiek
Janina Wojciechowska 298zł górnik
Paweł Kowalczyk 142zł rolnik
Jolanta Kwiatkowska 946zł rolnik
Ewa Piotrowska 292zł górnik
Magdalena Wójcik 403zł uczciwy_człowiek
Ryszard Jankowski 1276zł uczciwy_człowiek
Wojciech Mazur 1208zł górnik
Michał Kowalski 682zł uczciwy_człowiek
Aleksandra Szymańska 387zł górnik
Jolanta Woźniak 147zł rolnik
Krzysztof Lewandowski 1034zł górnik
Katarzyna Kwiatkowska 1225zł uczciwy_człowiek
Barbara Dąbrowska 1094zł górnik
Paweł Nowak 672zł górnik
Dariusz Wiśniewski 284zł rolnik
Piotr Kowalczyk 514zł górnik
Helena Jankowska 473zł uczciwy_człowiek
Tadeusz Jankowski 1086zł górnik
Wojciech Kwiatkowski 559zł rolnik
Krzysztof Lewandowski 516zł rolnik
Jan Dąbrowski 131zł uczciwy_człowiek
Marek Nowak 1483zł uczciwy_człowiek
Elżbieta Mazur 1143zł rolnik
Marianna Dąbrowska 198zł górnik
Kazimierz Kozłowski 1164zł rolnik
Danuta Mazur 1385zł górnik
Joanna Mazur 952zł rolnik
Maria Kamińska 588zł rolnik
Jan Szymański 713zł rolnik
Małgorzata Woźniak 1407zł rolnik
Krzysztof Nowak 1251zł uczciwy_człowiek
Joanna Szymańska 1018zł rolnik
Maria Kaczmarek 378zł górnik
Beata Piotrowska 1142zł uczciwy_człowiek
Zbigniew Nowak 664zł rolnik
Jan Wiśniewski 1329zł uczciwy_człowiek
Beata Grabowska 710zł górnik
Robert Woźniak 111zł rolnik
Marianna Kwiatkowska 293zł uczciwy_człowiek
Aleksandra Wiśniewska 524zł rolnik
Aleksandra Wojciechowska 956zł uczciwy_człowiek
Marek Kamiński 929zł rolnik
Janina Kamińska 1144zł rolnik
Iwona Nowak 790zł uczciwy_człowiek
Jerzy Nowak 1319zł rolnik
Maciej Krawczyk 878zł rolnik
Krystyna Szymańska 1361zł rolnik
Tomasz Kowalski 334zł górnik
Elżbieta Nowak 280zł uczciwy_człowiek
Marek Wójcik 787zł uczciwy_człowiek
Robert Wójcik 1040zł rolnik
Małgorzata Mazur 1052zł górnik
Grzegorz Kaczmarek 270zł górnik
Marek Wójcik 332zł górnik
Marianna Zielińska 1073zł uczciwy_człowiek
Andrzej Kwiatkowski 430zł górnik
Jerzy Jankowski 389zł rolnik
Jacek Piotrowski 1242zł rolnik
Aleksandra Zielińska 1330zł górnik
Beata Kamińska 619zł uczciwy_człowiek
Marta Zielińska 1186zł rolnik
Barbara Zielińska 694zł rolnik
Dariusz Krawczyk 1104zł rolnik
Jerzy Nowak 108zł górnik
Józef Kwiatkowski 229zł rolnik
Katarzyna Kowalska 572zł rolnik
Ryszard Krawczyk 186zł uczciwy_człowiek
Marianna Nowak 644zł rolnik
Krystyna Wójcik 362zł uczciwy_człowiek
Józef Piotrowski 663zł rolnik
Aleksandra Nowak 626zł uczciwy_człowiek
Jerzy Zieliński 939zł uczciwy_człowiek
Natalia Nowak 428zł uczciwy_człowiek
Marcin Wojciechowski 346zł uczciwy_człowiek
Rafał Wojciechowski 104zł rolnik
Karolina Wiśniewska 411zł górnik
Grażyna Kwiatkowska 926zł rolnik
Jacek Szymański 816zł uczciwy_człowiek
Beata Kowalska 306zł uczciwy_człowiek
Jerzy Mazur 253zł rolnik
Marta Lewandowska 1387zł rolnik
Adam Szymański 938zł górnik
Jakub Szymański 502zł rolnik
Józef Kowalski 1185zł górnik
Małgorzata Szymańska 1123zł górnik
Krystyna Kowalska 301zł rolnik
Janina Kwiatkowska 570zł uczciwy_człowiek
Piotr Dąbrowski 1474zł uczciwy_człowiek
Robert Kozłowski 1280zł rolnik
Jacek Nowak 1107zł górnik
Andrzej Mazur 318zł rolnik
Wojciech Jankowski 1277zł rolnik
Jolanta Kowalczyk 1315zł rolnik
Mateusz Kowalczyk 912zł rolnik
Maria Kamińska 1191zł uczciwy_człowiek
Tadeusz Dąbrowski 1395zł rolnik
Marcin Krawczyk 898zł górnik
Rafał Kowalczyk 207zł górnik
Mateusz Nowak 403zł rolnik
Karolina Nowak 412zł uczciwy_człowiek
Magdalena Kwiatkowska 453zł rolnik
Józef Kamiński 1400zł uczciwy_człowiek
Zofia Kozłowska 1333zł rolnik
Barbara Dąbrowska 447zł górnik
Marianna Jankowska 131zł rolnik
Maria Wiśniewska 1230zł górnik
Krystyna Jankowska 846zł uczciwy_człowiek
Natalia Kozłowska 383zł rolnik
Karolina Wojciechowska 747zł górnik
Marek Dąbrowski 314zł rolnik
Karolina Kowalczyk 1156zł górnik
Henryk Zieliński 1246zł rolnik
Elżbieta Kowalska 1289zł górnik
Ewa Kamińska 894zł uczciwy_człowiek
Ryszard Krawczyk 1329zł rolnik
Katarzyna Kamińska 421zł rolnik
Grzegorz Jankowski 571zł uczciwy_człowiek
Jakub Kamiński 1335zł uczciwy_człowiek
Helena Dąbrowska 401zł uczciwy_człowiek
Małgorzata Kowalska 549zł górnik
Marta Zielińska 201zł uczciwy_człowiek
Maciej Kowalczyk 1492zł górnik
Jadwiga Nowak 1385zł górnik
Iwona Wojciechowska 848zł górnik
Natalia Grabowska 1317zł rolnik
Robert Szymański 1333zł uczciwy_człowiek
Jolanta Kamińska 1349zł górnik
Marcin Kozłowski 1124zł górnik
Henryk Nowak 224zł górnik
Katarzyna Jankowska 1082zł rolnik
Zofia Krawczyk 1334zł uczciwy_człowiek
Adam Kozłowski 254zł uczciwy_człowiek
Joanna Piotrowska 892zł górnik
Irena Kozłowska 318zł rolnik
Krzysztof Grabowski 176zł rolnik
Danuta Kamińska 1445zł górnik
Michał Kamiński 1171zł uczciwy_człowiek
Barbara Woźniak 1234zł rolnik
Zofia Kowalska 276zł uczciwy_człowiek
Dariusz Piotrowski 306zł rolnik
Teresa Dąbrowska 1017zł górnik
Anna Kamińska 170zł uczciwy_człowiek
Agnieszka Nowak 286zł górnik
Andrzej Woźniak 1371zł uczciwy_człowiek
Maciej Grabowski 1486zł uczciwy_człowiek
Dorota Mazur 858zł uczciwy_człowiek
Maciej Lewandowski 191zł uczciwy_człowiek
Teresa Kaczmarek 1268zł górnik
Grzegorz Kowalczyk 498zł górnik
Dariusz Krawczyk 1162zł uczciwy_człowiek
Joanna Kowalska 822zł górnik
Jacek Wojciechowski 561zł rolnik
Jakub Kwiatkowski 531zł górnik
Michał Kozłowski 1103zł rolnik
Halina Kwiatkowska 535zł górnik
Łukasz Jankowski 402zł rolnik
Joanna Woźniak 549zł rolnik
Józef Kozłowski 124zł górnik
Elżbieta Lewandowska 131zł górnik
Maria Kowalczyk 1349zł rolnik
Marianna Kaczmarek 965zł uczciwy_człowiek
Jerzy Wiśniewski 400zł rolnik
Małgorzata Wiśniewska 1061zł rolnik
Dorota Woźniak 1099zł rolnik
Michał Szymański 844zł górnik
Marianna Woźniak 746zł górnik
Adam Kaczmarek 531zł rolnik
Piotr Kwiatkowski 197zł rolnik
Łukasz Kwiatkowski 462zł górnik
Zbigniew Wojciechowski 325zł rolnik
Mariusz Nowak 981zł uczciwy_człowiek
Irena Szymańska 1244zł uczciwy_człowiek
Marek Wojciechowski 869zł rolnik
Tomasz Kozłowski 592zł rolnik
Agnieszka Kamińska 829zł uczciwy_człowiek
Halina Wójcik 939zł górnik
Mariusz Piotrowski 450zł rolnik
Marek Mazur 201zł górnik
Józef Kowalski 1260zł uczciwy_człowiek
Adam Kowalski 421zł rolnik
Marta Kozłowska 527zł górnik
Marianna Wojciechowska 195zł górnik
Tadeusz Wójcik 256zł górnik
Monika Dąbrowska 1118zł uczciwy_człowiek
Maciej Kamiński 1001zł górnik
Katarzyna Woźniak 431zł rolnik
Zbigniew Mazur 1450zł uczciwy_człowiek
Marta Zielińska 1255zł uczciwy_człowiek
Ewa Zielińska 107zł rolnik
Natalia Mazur 368zł górnik
Zofia Kwiatkowska 367zł rolnik
Marek Szymański 1224zł górnik
Robert Kowalczyk 106zł uczciwy_człowiek
Jerzy Dąbrowski 1314zł uczciwy_człowiek
Jan Kaczmarek 1296zł górnik
Wojciech Zieliński 840zł rolnik
Anna Piotrowska 716zł uczciwy_człowiek
Janina Kaczmarek 898zł uczciwy_człowiek
Anna Kozłowska 304zł uczciwy_człowiek
Magdalena Jankowska 1094zł uczciwy_człowiek
Andrzej Jankowski 1128zł rolnik
Irena Kaczmarek 372zł rolnik
Adam Zieliński 1250zł rolnik
Natalia Krawczyk 824zł uczciwy_człowiek
Jadwiga Szymańska 1398zł uczciwy_człowiek
Robert Kaczmarek 659zł uczciwy_człowiek
Aleksandra Grabowska 862zł uczciwy_człowiek
Ryszard Kowalski 127zł uczciwy_człowiek
Andrzej Kaczmarek 150zł górnik
Helena Kowalska 1273zł rolnik
Ryszard Kwiatkowski 1266zł górnik
Stanisław Kowalczyk 993zł uczciwy_człowiek
Mariusz Kwiatkowski 277zł uczciwy_człowiek
Michał Zieliński 785zł górnik
Danuta Wojciechowska 902zł rolnik
Marcin Kaczmarek 284zł uczciwy_człowiek
Maciej Nowak 127zł uczciwy_człowiek
Łukasz Dąbrowski 594zł uczciwy_człowiek
Joanna Wiśniewska 1346zł rolnik
Marek Jankowski 203zł górnik
Mateusz Kozłowski 594zł uczciwy_człowiek
Monika Kowalska 355zł uczciwy_człowiek
Dariusz Piotrowski 114zł rolnik
Paweł Dąbrowski 659zł górnik
Stanisław Wiśniewski 232zł górnik
Karolina Kamińska 201zł górnik
Helena Grabowska 628zł górnik
Krystyna Kwiatkowska 802zł górnik
Danuta Kaczmarek 832zł uczciwy_człowiek
Maria Krawczyk 1499zł uczciwy_człowiek
Joanna Grabowska 108zł rolnik
Piotr Mazur 492zł górnik
Marianna Lewandowska 421zł rolnik
Dariusz Wojciechowski 1078zł górnik
Mateusz Piotrowski 350zł uczciwy_człowiek
Teresa Kowalczyk 1401zł górnik
Wojciech Piotrowski 106zł rolnik
Jadwiga Kozłowska 1311zł górnik
Halina Kowalczyk 384zł górnik
Łukasz Kowalczyk 299zł rolnik
Jacek Kozłowski 1444zł rolnik
Ewa Grabowska 230zł uczciwy_człowiek
Aleksandra Woźniak 646zł rolnik
Marcin Woźniak 885zł uczciwy_człowiek
Dariusz Kozłowski 1104zł rolnik
Michał Zieliński 201zł uczciwy_człowiek
Aleksandra Lewandowska 1267zł górnik
Grzegorz Kozłowski 1463zł uczciwy_człowiek
Henryk Lewandowski 132zł uczciwy_człowiek
Iwona Wojciechowska 279zł uczciwy_człowiek
Anna Szymańska 125zł rolnik
Krzysztof Wójcik 1235zł uczciwy_człowiek
Zbigniew Szymański 819zł rolnik
Kamil Jankowski 334zł rolnik
Karolina Grabowska 107zł uczciwy_człowiek
Halina Wojciechowska 963zł rolnik
Marek Szymański 1476zł rolnik
Małgorzata Kwiatkowska 125zł rolnik
Dorota Kozłowska 566zł uczciwy_człowiek
Jerzy Wójcik 296zł uczciwy_człowiek
Paweł Grabowski 1174zł uczciwy_człowiek
Zbigniew Woźniak 1241zł uczciwy_człowiek
Jan Dąbrowski 1238zł górnik
Dariusz Kamiński 234zł uczciwy_człowiek
